timestamp,symbol,side,quantity,entry_price,exit_price,invested_amount,current_value,pnl,commission,ai_score,run_type,run_count,run_perc,gauss_run,vol_ratio,deviso_ratio,stop_loss,take_profit,close_reason,status
2025-09-08 00:25:45,TOWNSUSDT,LONG,148050.0,0.0,0,0.0,0,0,0.0,59.1503174603175,long,4,16.26390487149981,10.0,47.92607027179286,17.822966507177025,0.0,0.0,,OPEN
2025-09-08 00:25:53,BABYUSDT,LONG,95195.0,0.0,0,0.0,0,0,0.0,47.924019100809794,long,5,2.520643198609303,15.0,29.835204890553978,3.261821366024515,0.0,0.0,,OPEN
2025-09-08 00:26:06,HEMIUSDT,SHORT,116175.0,0.0,0,0.0,0,0,0.0,47.43447280807844,short,7,6.298508184433866,28.0,1.8793919864184094,-4.209486166007915,0.0,0.0,,OPEN
